	subjid	epochs	badchans	Quality (1<bad> - 5<good>)	Description	Resolution	Movement	DAQFlairing
 'sub-ON87777/ses-1/meg/sub-ON87777_ses-1_task-rest_run-01_meg.ds'	ON87777	9		3.5	DAQ flairing (few channels - but long duration) + some is co-occuring with muscle. Could be 4 afterwards			1
 'sub-ON88614/ses-01/meg/sub-ON88614_ses-01_task-rest_run-01_meg.ds'	ON88614	15		4	DAQ flairing (low amp – removed) + cropped a lot of data - could be 4.5 after ICA			1
 'sub-ON88700/ses-1/meg/sub-ON88700_ses-1_task-rest_run-01_meg.ds'	ON88700	4		4	DAQ flairing + some temporal lobe muscle artifact			1
 'sub-ON88753/ses-1/meg/sub-ON88753_ses-1_task-rest_run-01_meg.ds'	ON88753	8		5	DAQ flairing (4x removed epochs)			1
 'sub-ON88762/ses-1/meg/sub-ON88762_ses-1_task-rest_run-01_meg.ds'	ON88762	2		4.5	Begin/End ringing			
 'sub-ON89045/ses-01/meg/sub-ON89045_ses-01_task-rest_run-01_meg.ds'	ON89045	3		5	Small spikes (3x) maybe not even worth removing			
 'sub-ON89474/ses-01/meg/sub-ON89474_ses-01_task-rest_run-01_meg.ds'	ON89474	0		2.5	Low frequency temporo-occipital (+ other) artifact - low amplitude signal			
 'sub-ON89475/ses-01/meg/sub-ON89475_ses-01_task-rest_run-01_meg.ds'	ON89475	0		4	Some persistent fronto temporal noise (muscle tension? good data otherwise)			
 'sub-ON91906/ses-01/meg/sub-ON91906_ses-01_task-rest_run-01_meg.ds'	ON91906	2		5	DAQ flairing + Some eyeblinks			1
 'sub-ON92220/ses-1/meg/sub-ON92220_ses-1_task-rest_run-01_meg.ds'	ON92220	5	['MRT45']	5	Removed muscle clenchs			
 'sub-ON93222/ses-1/meg/sub-ON93222_ses-1_task-rest_run-01_meg.ds'	ON93222	0		4	Some low frequency atrifact, but generally clean			
 'sub-ON93426/ses-01/meg/sub-ON93426_ses-01_task-rest_run-01_meg.ds'	ON93426	1			1 Section of low amplitude broadband temporal noise (10s)			
 'sub-ON94110/ses-1/meg/sub-ON94110_ses-1_task-rest_run-01_meg.ds'	STOPPED HERE – NEED TO DO THIS SUBJECT and below							
 'sub-ON94131/ses-1/meg/sub-ON94131_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON94856/ses-01/meg/sub-ON94856_ses-01_task-rest_run-01_meg.ds'	'’							
 'sub-ON95003/ses-01/meg/sub-ON95003_ses-01_task-rest_run-01_meg.ds'	'’							
 'sub-ON95422/ses-01/meg/sub-ON95422_ses-01_task-rest_run-01_meg.ds'	'’							
 'sub-ON95520/ses-1/meg/sub-ON95520_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON95742/ses-01/meg/sub-ON95742_ses-01_task-rest_run-01_meg.ds'	'’							
 'sub-ON96252/ses-1/meg/sub-ON96252_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON96353/ses-1/meg/sub-ON96353_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON96510/ses-1/meg/sub-ON96510_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON96555/ses-1/meg/sub-ON96555_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON97503/ses-1/meg/sub-ON97503_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON97504/ses-01/meg/sub-ON97504_ses-01_task-rest_run-01_meg.ds'	'’							
 'sub-ON97654/ses-1/meg/sub-ON97654_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON97765/ses-1/meg/sub-ON97765_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON98130/ses-1/meg/sub-ON98130_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON98362/ses-1/meg/sub-ON98362_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON98502/ses-1/meg/sub-ON98502_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON98602/ses-1/meg/sub-ON98602_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON98664/ses-1/meg/sub-ON98664_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON98745/ses-1/meg/sub-ON98745_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON98826/ses-1/meg/sub-ON98826_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON99547/ses-1/meg/sub-ON99547_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON99620/ses-01/meg/sub-ON99620_ses-01_task-rest_run-01_meg.ds'	'’							
 'sub-ON99633/ses-1/meg/sub-ON99633_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON99881/ses-1/meg/sub-ON99881_ses-1_task-rest_run-01_meg.ds'	'’							
 'sub-ON99943/ses-1/meg/sub-ON99943_ses-1_task-rest_run-01_meg.ds'	'’							
